Name,Pattern Type,Neckline
Lettuce Trim Rib-knit Tie Dye Top,Tie Dye,Scoop Neck
Slant Pocket Solid Skirt,Plain,NA
Contrast Binding Tie Dye Shorts,Tie Dye,NA
Square Neck Plaid Dress,Plaid,Square Neck
Pinstriped Mid-Rise Dolphin Shorts,Striped,NA
Solid Rib-knit Bodycon Dress,Plain,Stand Collar
Frill Trim Buttoned Front Cuffed Shorts,Plain,NA
Lace Up Knot PU Leather Skirt,Plain,NA
Tie Shoulder Ruched Bust Dot Print Dress,All Over Print,Spaghetti Strap
Off Shoulder Ruched Crop Top,Plain,Off the Shoulder
High Waist Ruched PU Leather Pants,Plain,NA
Seam Detail Solid Bodycon Dress,Plain,Round Neck
Solid Button Front Shirt Dress,Plain,Collar
Wide Waistband Criss-cross Back Leggings,Plain,NA
Tie Dye Elastic Waist Sweatpants,Tie Dye,NA
Tie Dye Split Cured Hem Slip Dress,Tie Dye,Spaghetti Strap
Floral Print Cami Top,Floral,Spaghetti Strap
Leopard Cami Bodycon Dress,Leopard,Spaghetti Strap
Paper Bag Waist PU Leather Skirt,Plain,NA
Allover Heart Print Flared Skirt,Heart  All Over Print,NA
Rhinestone Velvet Shorts,Geometric,NA
Draped Front Lantern Sleeve Top,Plain,High Neck
Cowl Neck Tie Back Bandana Top,Plain,Cowl Neck  Halter
SBetro Drawstring Ruched Crisscross Back Satin Cami Bodycon Dress,Plain,Spaghetti Strap
Square Neck Lettuce Trim Gingham Dress,Gingham,Square Neck
High Low Hem Stripe Belted Tunic Top,Striped,Collar
Notched Neck Crop Camo Top,Camo,Notched
Solid Elastic Waist Shorts,Plain,NA
Pleated Mini Skirt,Plain,NA
BASICS Solid Bodycon Dress,Plain,Spaghetti Strap
Flare Bottom Suede Pants,Plain,NA
M-slit Hem Velvet Slip Dress,Plain,Spaghetti Strap
Buckled Belted Mermaid Hem Skirt,Floral,NA
Drop Shoulder Tartan Blouse,Tartan,Collar
Ruffle Trim Square Neck Ditsy Floral Print Dress,Ditsy Floral,Square Neck
Abstract Print Bishop Sleeve Buttoned Shirt,All Over Print,Stand Collar
Ruffle Hem Waffle Knit Cami Top,Plain,Spaghetti Strap
Ruched Detail Bodycon Slip Dress,Plain,Spaghetti Strap
Ribbed Solid Bodycon Dress,Plain,Spaghetti Strap
Wide Band Waist Pocket Back Leggings,Plain,NA
Drawstring Waist Quilted Joggers,Plain,NA
Mock-neck Solid Fitted Tee,Plain,Stand Collar
Floral Print Tunic Dress,Floral,Round Neck
Graphic Print Crop Cami Top,Letter  Tropical,Spaghetti Strap
Letter Graphic Split Hem Halter Bodycon Dress,Letter,Halter
Drawstring Pocket Corduroy Carrot Pants,Plain,NA
High Waist Slant Pocket Cord Pants,Plain,NA
Plaid Lettuce Trim Cami Bodycon Dress,Plaid,Spaghetti Strap
Fold Pleated Front Flap Front Buttoned Hem Tailored Pants,Striped,NA
Buttoned Front Crop Top,Plain,V neck
Split Thigh Solid Bodycon Dress,Plain,Round Neck
Asymmetrical Neck Hidden Pockets Tee Dress,Plain,Asymmetrical Neck
Corduroy Zipper Front Mini Skirt,Plain,NA
Leopard One Shoulder Crop Top,Leopard,One Shoulder
Slant Pocket Self Belted Shorts,Plain,NA
Tribal Print Shirred Waist Backless Cami Dress,Tribal,Deep V Neck  Spaghetti Strap
Colorblock High-Rise Joggers,Colorblock,NA
Mock-Neck Lettuce Trim Rib-knit Dress,Plain,Stand Collar
Striped Side Flare Leg Pants,Striped,NA
Angel Print Lettuce Trim Tee,Figure,Round Neck
